Author,City,Institution,Keywords
Sarun Intakosum,Bangkok,King Mongkut's Institute of Technology Ladkrabang,"['quality of service', 'ITIL', 'COBIT', 'security metrics and measurement', 'security for web service']"
Oscar Rebollo,Madrid,Ministry of Labour and Immigration,"['information security governance', 'cloud computing', 'systematic literature review']"
Daniel Mellado,Ciudad Real,University of Castilla-La Mancha,"['information security governance', 'cloud computing', 'systematic literature review']"
Eduardo Fernández-Medina,Ciudad Real,University of Castilla-La Mancha,"['information security governance', 'cloud computing', 'systematic literature review']"
Raimundas Matulevičius,Tartu,University of Tartu,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']"
Haralambos Mouratidis,London,University of East London,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']"
Nicolas Mayer,Luxembourg,CRP Henri Tudor,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']"
Eric Dubois,Luxembourg,CRP Henri Tudor,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']"
Patrick Heymans,Namur,University of Namur,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']"
Carla-Lee Botha,Pretoria,University of South Africa,"['information security awareness', 'online banking', 'home users', 'legislation', 'best practice', 'South Africa']"
Elmarie Kritzinger,Pretoria,University of South Africa,"['information security awareness', 'online banking', 'home users', 'legislation', 'best practice', 'South Africa']"
Marianne Loock,Pretoria,University of South Africa,"['information security awareness', 'online banking', 'home users', 'legislation', 'best practice', 'South Africa']"
Jezabel Molina-Gil,Tenerife,University of La Laguna,"['VANETs', 'cooperation', 'self-management', 'security', 'misbehaviour', 'ITS']"
Pino Caballero-Gil,Tenerife,University of La Laguna,"['VANETs', 'cooperation', 'self-management', 'security', 'misbehaviour', 'ITS']"
Cándido Caballero-Gil,Tenerife,University of La Laguna,"['VANETs', 'cooperation', 'self-management', 'security', 'misbehaviour', 'ITS']"
Saïd Gharout,Caen,Orange Labs - France Telecom,"['confidentiality', 'key management', 'group communication', 'mobility']"
Abdelmadjid Bouabdallah,Compiègne,University of Technology of Compiègne,"['confidentiality', 'key management', 'group communication', 'mobility']"
Yacine Challal,Compiègne,University of Technology of Compiègne,"['confidentiality', 'key management', 'group communication', 'mobility']"
Mohammed Achemlal,Caen,Orange Labs - France Telecom,"['confidentiality', 'key management', 'group communication', 'mobility']"
Nadia Nedjah,Rio de Janeiro,State University of Rio de Janeiro,[]
Luiza de Macedo Mourelle,Rio de Janeiro,State University of Rio de Janeiro,[]
Freddy Bolanos,Medellin,Universidad Nacional de Colombia,"['multiprocessor-system-on-chip (MPSoC)', 'network-on-chip (NoC)', 'population-based incremental learning (PBIL)', 'computer-aided design (CAD)']"
Jose Edison Aedo,Medellin,Universidad de Antioquia,"['multiprocessor-system-on-chip (MPSoC)', 'network-on-chip (NoC)', 'population-based incremental learning (PBIL)', 'computer-aided design (CAD)']"
Fredy Rivera,Medellin,Universidad de Antioquia,"['multiprocessor-system-on-chip (MPSoC)', 'network-on-chip (NoC)', 'population-based incremental learning (PBIL)', 'computer-aided design (CAD)']"
Nader Bagherzadeh,Irvine,"University of California, Irvine","['multiprocessor-system-on-chip (MPSoC)', 'network-on-chip (NoC)', 'population-based incremental learning (PBIL)', 'computer-aided design (CAD)']"
Luneque Silva Junior,Rio de Janeiro,State University of Rio de Janeiro,"['network-on-chip', 'packet routing', 'ant colony optimization']"
Nadia Nedjah,Rio de Janeiro,State University of Rio de Janeiro,"['network-on-chip', 'packet routing', 'ant colony optimization']"
Luiza de Macedo Mourelle,Rio de Janeiro,State University of Rio de Janeiro,"['network-on-chip', 'packet routing', 'ant colony optimization']"
Maurizio Palesi,Enna,Kore University,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']"
