source,source_location,Content,target,target_location,Other places,Etude Notaire,Cote ADLA,Nature acte,Date,source_coordinates,source_address,target_coordinates,target_address
Anne Gallier,"Saint Nicolas, Nantes",Finance ,Wils et Van Schoonhoven Cie,,,Verger,4/2E/1936,Cambie,01/02/1664,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (6.1834097 48.6937223),"Nancy, 54000;54100, Grand Est, France"
Anne Gallier,"Saint Nicolas, Nantes",Finance ,Pierre Guyonneau,,,Verger,4/2E/1936,Cambie,01/02/1664,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (6.1834097 48.6937223),"Nancy, 54000;54100, Grand Est, France"
Anne Gallier,"Saint Nicolas, Nantes",Finance ,Pierre Guinebaud,,,Verger,4/2E/1936,Cambie,01/02/1664,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (6.1834097 48.6937223),"Nancy, 54000;54100, Grand Est, France"
Anne Gallier,"Saint Nicolas, Nantes",Finance ,Marie Boucher,"Saint Nicolas, Nantes",,Verger,4/2E/1936,Cambie,01/02/1664,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.5577788137042066 47.2155235),"Basilique Saint-Nicolas, Rue Duvoisin, 44003, Rue Duvoisin, Nantes, Pays de la Loire, France"
Marie Boucher,"Saint Nicolas, Nantes",Commerce ,Bernard Gillabert, Bordeaux, ,Verger,4/2E/1936,Attestation,09/04/1664,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-0.5800364 44.841225),"Bordeaux, 33000;33100;33200;33300;33800, Nouvelle-Aquitaine, France"
Bernard Gillabert,Bordeaux,Travail ,Pierre Goudin,Olonne,,Verger,4/2E/1936,Attestation,09/04/1664,POINT (-0.5800364 44.841225),"Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, France",POINT (-1.7687019 46.5358685),"Olonne-sur-Mer, 85340, Les Sables-d'Olonne, Pays de la Loire, France"
Bernard Gillabert,Bordeaux,Travail ,Arnault de La Conforque,Bordeaux,,Verger,4/2E/1936,Attestation,09/04/1664,POINT (-0.5800364 44.841225),"Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, France",POINT (-0.5800364 44.841225),"Bordeaux, 33000;33100;33200;33300;33800, Nouvelle-Aquitaine, France"
Bernard Gillabert,Bordeaux,Travail ,Jean Batau,Mesquer,,Verger,4/2E/1936,Attestation,09/04/1664,POINT (-0.5800364 44.841225),"Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, France",POINT (-2.4595913 47.3991145),"Mesquer, 44420, Pays de la Loire, France"
Bernard Gillabert,Bordeaux,Travail ,François Laragon,Le Pouliguen,,Verger,4/2E/1936,Attestation,09/04/1664,POINT (-0.5800364 44.841225),"Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, France",POINT (-2.4310663 47.2714307),"Le Pouliguen, 44510, Pays de la Loire, France"
Bernard Gillabert,Bordeaux,Travail ,Daniel Caneret,Audierne,,Verger,4/2E/1936,Attestation,09/04/1664,POINT (-0.5800364 44.841225),"Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, France",POINT (-4.545659011908988 48.02308095),"Audierne, 29770, Audierne, Bretagne, France"
Marie Boucher,"Saint Nicolas, Nantes",Travail ,Pierre Goudin,Olonne,,Verger,4/2E/1936,Attestation,09/04/1664,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-1.7687019 46.5358685),"Olonne-sur-Mer, 85340, Les Sables-d'Olonne, Pays de la Loire, France"
Marie Boucher,"Saint Nicolas, Nantes",Travail ,Arnault de La Conforque,Bordeaux,,Verger,4/2E/1936,Attestation,09/04/1664,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-0.5800364 44.841225),"Bordeaux, 33000;33100;33200;33300;33800, Nouvelle-Aquitaine, France"
Marie Boucher,"Saint Nicolas, Nantes",Travail ,Jean Batau,Mesquer,,Verger,4/2E/1936,Attestation,09/04/1664,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-2.4595913 47.3991145),"Mesquer, 44420, Pays de la Loire, France"
Marie Boucher,"Saint Nicolas, Nantes",Travail ,François Laragon,Le Pouliguen,,Verger,4/2E/1936,Attestation,09/04/1664,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-2.4310663 47.2714307),"Le Pouliguen, 44510, Pays de la Loire, France"
Marie Boucher,"Saint Nicolas, Nantes",Travail ,Daniel Caneret,Audierne,,Verger,4/2E/1936,Attestation,09/04/1664,POINT (-1.5603709 47.2155984),"Saint-Nicolas, Rue du Calvaire, Bretagne, Centre Ville, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44003, France",POINT (-4.545659011908988 48.02308095),"Audierne, 29770, Audierne, Bretagne, France"
