Author,City,Keywords,coordinates
David Griffiths,Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863)
Mark Johnson,Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863)
Kris Popat,Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863)
Paul Sharples,Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863)
Scott Wilson,Bolton,"['Interoperability', 'Wookie', 'Widget', 'specification', 'W3C', 'Apache', 'IMS Learning Design', 'Mobile', 'Mash-up', 'personal learning environment']",POINT (-2.4300367 53.5782863)
Ricardo Queirós,Porto,"['e-Learning', 'interoperability', 'service oriented architectures']",POINT (-8.6107884 41.1494512)
José Paulo Leal,Porto,"['e-Learning', 'interoperability', 'service oriented architectures']",POINT (-8.6107884 41.1494512)
Marc Alier Forment,Barcelona,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (2.1774322 41.3828939)
María José Casany,Barcelona,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (2.1774322 41.3828939)
Enric Mayol,Barcelona,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (2.1774322 41.3828939)
Jordi Piguillem,Barcelona,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (2.1774322 41.3828939)
Nikolas Galanis,Salamanca,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (-5.6640182 40.9651572)
Francisco J. García-Peñalvo,Salamanca,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (-5.6640182 40.9651572)
Miguel Ángel Conde,Salamanca,"['LMS', 'Google Docs', 'interoperability', 'eLearning', 'software as a service', 'cloud computing', 'VLE', 'PLE']",POINT (-5.6640182 40.9651572)
Anton Joha,London,"['cloud computing', 'SaaS', 'software as a Service', 'business model', 'design choices', 'sourcing']",POINT (-0.1277653 51.5074456)
Marijn Janssen,Delft,"['cloud computing', 'SaaS', 'software as a Service', 'business model', 'design choices', 'sourcing']",POINT (4.362724538543995 51.999457199999995)
Yung Bok Kim,Seoul,"['Social Web', 'name card', 'QoS', 'utilization level', 'serviceability', 'cloud', 'SNS']",POINT (126.9782914 37.5666791)
Ricardo Colomo-Palacios,Madrid,"['information systems development', 'cloud computing', 'software as a service', 'software vendors']",POINT (-3.7035825 40.4167047)
Eduardo Fernandes,Sao Paulo,"['information systems development', 'cloud computing', 'software as a service', 'software vendors']",POINT (-46.6333824 -23.5506507)
Marc Sabbagh,Asnières sur Seine,"['information systems development', 'cloud computing', 'software as a service', 'software vendors']",POINT (2.2890454 48.9105948)
Antonio de Amescua Seco,Madrid,"['information systems development', 'cloud computing', 'software as a service', 'software vendors']",POINT (-3.7035825 40.4167047)
Miloš Milovanović,Belgrade,"['interoperability', 'multimodal biometry', 'open source', 'framework', 'security']",POINT (-111.184535 45.773279)
Miroslav Minović,Belgrade,"['interoperability', 'multimodal biometry', 'open source', 'framework', 'security']",POINT (-111.184535 45.773279)
Starčević Dušan,Belgrade,"['interoperability', 'multimodal biometry', 'open source', 'framework', 'security']",POINT (-111.184535 45.773279)
Miguel García Rodríguez,Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.8483581 43.3618625)
Jose María Alvarez Rodríguez,Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.8483581 43.3618625)
Diego Berrueta Muñoz,Gijon,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.66275 43.5449422)
Luis Polo Paredes,Gijon,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.66275 43.5449422)
Jose Emilio Labra Gayo,Oviedo,"['service-oriented architectures', 'web services', 'cloud computing', 'semantic web', 'ontologies', 'data grounding', 'semantic web services', 'interoperability', 'mapping languages']",POINT (-5.8483581 43.3618625)
